date,open,high,low,close,volume,average,barCount
2026-02-10 00:50:00,5056.6,5064.0,5052.9,5060.1,332.0,5058.46,227
2026-02-10 00:55:00,5059.9,5062.5,5059.5,5061.9,103.0,5061.17,87
2026-02-10 01:00:00,5061.4,5063.6,5058.1,5061.6,102.0,5061.2,91
2026-02-10 01:05:00,5061.4,5068.4,5061.4,5061.5,186.0,5064.89,169
2026-02-10 01:10:00,5062.3,5062.4,5055.6,5058.6,251.0,5059.33,192
2026-02-10 01:15:00,5058.8,5059.8,5055.0,5055.8,108.0,5057.15,104
2026-02-10 01:20:00,5055.0,5058.8,5053.0,5056.5,72.0,5056.28,60
2026-02-10 01:25:00,5055.7,5059.4,5052.7,5053.6,129.0,5055.92,107
2026-02-10 01:30:00,5053.4,5060.0,5050.2,5060.0,162.0,5054.39,132
2026-02-10 01:35:00,5060.0,5060.9,5055.0,5055.3,200.0,5058.45,141
2026-02-10 01:40:00,5056.0,5056.0,5048.6,5051.2,94.0,5051.62,83
2026-02-10 01:45:00,5050.4,5058.7,5049.3,5052.0,225.0,5054.5,185
2026-02-10 01:50:00,5051.6,5051.6,5041.0,5044.1,301.0,5045.53,236
2026-02-10 01:55:00,5044.4,5049.7,5043.6,5045.8,351.0,5046.29,250
2026-02-10 02:00:00,5045.7,5050.9,5040.0,5050.9,364.0,5044.76,282
2026-02-10 02:05:00,5050.5,5051.8,5048.7,5050.1,115.0,5050.21,91
2026-02-10 02:10:00,5050.1,5055.7,5050.0,5050.0,98.0,5052.79,80
2026-02-10 02:15:00,5049.7,5053.5,5048.7,5051.4,72.0,5051.69,62
2026-02-10 02:20:00,5051.9,5052.4,5042.6,5044.1,245.0,5045.71,202
2026-02-10 02:25:00,5043.5,5047.7,5040.8,5046.3,236.0,5044.47,177
2026-02-10 02:30:00,5046.8,5053.1,5046.0,5050.2,161.0,5050.12,129
2026-02-10 02:35:00,5049.9,5056.2,5047.5,5049.4,188.0,5051.85,154
2026-02-10 02:40:00,5048.7,5053.9,5047.8,5050.4,83.0,5050.58,75
2026-02-10 02:45:00,5050.9,5052.1,5047.5,5051.9,198.0,5049.8,159
2026-02-10 02:50:00,5051.9,5057.1,5051.9,5052.9,191.0,5054.66,162
2026-02-10 02:55:00,5052.4,5055.6,5051.7,5055.3,86.0,5053.82,75
