date,symbol,open,high,low,close,volume
2026-02-10 10:40:00,TVC:GOLD,5047.085,5049.59,5044.84,5048.922,6018.0
2026-02-10 10:45:00,TVC:GOLD,5048.28,5049.959,5043.54,5046.005,6482.0
2026-02-10 10:50:00,TVC:GOLD,5046.285,5049.24,5043.36,5044.83,7753.0
2026-02-10 10:55:00,TVC:GOLD,5044.44,5046.994,5041.7,5046.61,5927.0
2026-02-10 11:00:00,TVC:GOLD,5046.56,5052.61,5045.55,5049.46,7871.0
2026-02-10 11:05:00,TVC:GOLD,5049.34,5051.03,5047.48,5048.505,5507.0
2026-02-10 11:10:00,TVC:GOLD,5048.829,5049.57,5040.43,5041.36,6197.0
2026-02-10 11:15:00,TVC:GOLD,5041.21,5041.96,5036.66,5041.3,7153.0
2026-02-10 11:20:00,TVC:GOLD,5040.94,5049.125,5038.45,5048.951,6142.0
2026-02-10 11:25:00,TVC:GOLD,5048.59,5050.613,5043.75,5047.465,6569.0
2026-02-10 11:30:00,TVC:GOLD,5047.12,5055.14,5045.375,5051.73,8838.0
2026-02-10 11:35:00,TVC:GOLD,5051.75,5056.41,5050.03,5054.869,5838.0
2026-02-10 11:40:00,TVC:GOLD,5054.849,5058.174,5053.18,5054.181,6230.0
2026-02-10 11:45:00,TVC:GOLD,5054.19,5056.0,5052.76,5053.78,4048.0
2026-02-10 11:50:00,TVC:GOLD,5053.78,5056.77,5048.8,5049.05,5660.0
2026-02-10 11:55:00,TVC:GOLD,5049.5,5049.82,5043.4,5046.888,6004.0
2026-02-10 12:00:00,TVC:GOLD,5046.78,5048.06,5044.01,5046.49,6011.0
2026-02-10 12:05:00,TVC:GOLD,5046.54,5052.98,5045.61,5052.98,5263.0
2026-02-10 12:10:00,TVC:GOLD,5052.98,5053.08,5049.0,5050.46,3866.0
2026-02-10 12:15:00,TVC:GOLD,5049.93,5051.7,5045.51,5046.62,5419.0
2026-02-10 12:20:00,TVC:GOLD,5046.62,5048.48,5044.76,5046.55,4565.0
2026-02-10 12:25:00,TVC:GOLD,5046.46,5048.69,5045.17,5047.71,4936.0
2026-02-10 12:30:00,TVC:GOLD,5047.33,5051.15,5047.03,5050.974,4472.0
2026-02-10 12:35:00,TVC:GOLD,5050.94,5054.32,5046.46,5049.98,4672.0
2026-02-10 12:40:00,TVC:GOLD,5049.708,5052.75,5045.668,5047.055,4008.0
2026-02-10 12:45:00,TVC:GOLD,5046.87,5051.81,5044.62,5051.38,4110.0
2026-02-10 12:50:00,TVC:GOLD,5051.79,5056.64,5051.38,5055.181,6195.0
2026-02-10 12:55:00,TVC:GOLD,5055.2,5057.46,5051.63,5055.99,4837.0
2026-02-10 13:00:00,TVC:GOLD,5055.71,5057.17,5050.9,5052.09,6859.0
2026-02-10 13:05:00,TVC:GOLD,5052.02,5052.26,5040.725,5046.17,7906.0
2026-02-10 13:10:00,TVC:GOLD,5046.17,5046.529,5040.935,5043.91,7590.0
2026-02-10 13:15:00,TVC:GOLD,5044.02,5051.534,5042.72,5048.32,6949.0
2026-02-10 13:20:00,TVC:GOLD,5048.31,5049.66,5042.01,5046.09,6951.0
2026-02-10 13:25:00,TVC:GOLD,5046.01,5047.45,5042.89,5046.155,5492.0
2026-02-10 13:30:00,TVC:GOLD,5046.3,5047.741,5041.12,5044.26,5479.0
2026-02-10 13:35:00,TVC:GOLD,5044.43,5046.637,5043.88,5044.82,5071.0
2026-02-10 13:40:00,TVC:GOLD,5044.85,5045.015,5023.525,5029.385,9094.0
2026-02-10 13:45:00,TVC:GOLD,5029.36,5029.794,5020.2,5025.825,13177.0
2026-02-10 13:50:00,TVC:GOLD,5026.129,5032.58,5019.1,5028.54,12262.0
2026-02-10 13:55:00,TVC:GOLD,5028.21,5034.26,5027.34,5032.16,9174.0
2026-02-10 14:00:00,TVC:GOLD,5032.12,5035.094,5026.3,5029.835,12362.0
2026-02-10 14:05:00,TVC:GOLD,5030.0,5038.063,5029.45,5034.185,10972.0
2026-02-10 14:10:00,TVC:GOLD,5034.47,5042.429,5032.32,5041.72,9321.0
2026-02-10 14:15:00,TVC:GOLD,5041.945,5046.25,5039.47,5045.52,8204.0
2026-02-10 14:20:00,TVC:GOLD,5045.165,5046.21,5037.775,5038.97,8402.0
2026-02-10 14:25:00,TVC:GOLD,5038.91,5039.263,5033.11,5037.67,8643.0
2026-02-10 14:30:00,TVC:GOLD,5037.77,5058.725,5037.135,5052.55,15193.0
2026-02-10 14:35:00,TVC:GOLD,5052.99,5056.98,5046.24,5049.04,12904.0
2026-02-10 14:40:00,TVC:GOLD,5049.04,5053.34,5048.19,5052.67,8470.0
2026-02-10 14:45:00,TVC:GOLD,5052.75,5057.6,5049.02,5055.72,9870.0
2026-02-10 14:50:00,TVC:GOLD,5055.621,5056.29,5051.92,5052.31,7848.0
2026-02-10 14:55:00,TVC:GOLD,5052.734,5055.49,5049.26,5051.051,8053.0
2026-02-10 15:00:00,TVC:GOLD,5051.08,5054.59,5046.535,5048.38,9995.0
2026-02-10 15:05:00,TVC:GOLD,5048.65,5057.57,5047.31,5055.881,8985.0
2026-02-10 15:10:00,TVC:GOLD,5055.61,5058.36,5052.498,5055.77,6252.0
2026-02-10 15:15:00,TVC:GOLD,5055.79,5074.69,5055.51,5071.72,14581.0
2026-02-10 15:20:00,TVC:GOLD,5071.44,5073.0,5067.23,5067.678,10356.0
2026-02-10 15:25:00,TVC:GOLD,5067.85,5072.83,5066.45,5070.22,10621.0
2026-02-10 15:30:00,TVC:GOLD,5070.025,5078.67,5067.5,5074.734,17862.0
2026-02-10 15:35:00,TVC:GOLD,5074.44,5075.99,5058.425,5062.369,17694.0
2026-02-10 15:40:00,TVC:GOLD,5062.22,5064.089,5052.97,5055.701,16931.0
2026-02-10 15:45:00,TVC:GOLD,5055.7,5056.34,5020.225,5030.474,21525.0
2026-02-10 15:50:00,TVC:GOLD,5030.01,5040.82,5029.18,5040.315,16310.0
2026-02-10 15:55:00,TVC:GOLD,5040.688,5045.663,5037.48,5039.0,13990.0
2026-02-10 16:00:00,TVC:GOLD,5039.509,5039.59,5028.388,5034.821,14685.0
2026-02-10 16:05:00,TVC:GOLD,5034.86,5042.851,5032.83,5041.658,14412.0
2026-02-10 16:10:00,TVC:GOLD,5041.628,5043.86,5036.27,5042.66,12521.0
2026-02-10 16:15:00,TVC:GOLD,5042.37,5042.97,5035.17,5041.135,12577.0
2026-02-10 16:20:00,TVC:GOLD,5041.35,5048.03,5039.56,5045.749,12169.0
2026-02-10 16:25:00,TVC:GOLD,5045.62,5047.06,5032.27,5032.27,12949.0
2026-02-10 16:30:00,TVC:GOLD,5032.585,5037.49,5026.56,5032.37,15766.0
2026-02-10 16:35:00,TVC:GOLD,5032.485,5032.74,4998.56,5007.762,19772.0
2026-02-10 16:40:00,TVC:GOLD,5007.735,5019.989,5007.25,5013.93,18232.0
2026-02-10 16:45:00,TVC:GOLD,5013.98,5027.97,5011.4,5025.731,16060.0
2026-02-10 16:50:00,TVC:GOLD,5025.615,5027.92,5017.87,5026.96,14382.0
2026-02-10 16:55:00,TVC:GOLD,5026.94,5029.63,5015.748,5019.45,14294.0
2026-02-10 17:00:00,TVC:GOLD,5019.05,5021.37,5012.02,5013.575,13068.0
2026-02-10 17:05:00,TVC:GOLD,5013.655,5016.761,5006.3,5013.96,14704.0
2026-02-10 17:10:00,TVC:GOLD,5013.844,5022.903,5013.415,5020.68,12146.0
2026-02-10 17:15:00,TVC:GOLD,5020.74,5024.368,5015.995,5018.12,12190.0
2026-02-10 17:20:00,TVC:GOLD,5017.95,5018.214,5008.12,5011.8,14625.0
2026-02-10 17:25:00,TVC:GOLD,5012.37,5017.621,5005.12,5009.61,14025.0
2026-02-10 17:30:00,TVC:GOLD,5010.2,5020.82,5008.0,5018.525,12996.0
2026-02-10 17:35:00,TVC:GOLD,5018.43,5023.739,5017.26,5019.27,10343.0
2026-02-10 17:40:00,TVC:GOLD,5019.3,5022.015,5014.105,5021.76,11297.0
2026-02-10 17:45:00,TVC:GOLD,5021.805,5026.44,5017.01,5017.58,11878.0
2026-02-10 17:50:00,TVC:GOLD,5017.52,5023.34,5015.36,5020.07,11607.0
2026-02-10 17:55:00,TVC:GOLD,5020.28,5024.64,5018.76,5023.77,8856.0
2026-02-10 18:00:00,TVC:GOLD,5023.36,5027.41,5022.73,5025.54,10231.0
2026-02-10 18:05:00,TVC:GOLD,5025.48,5027.08,5020.385,5022.8,8312.0
2026-02-10 18:10:00,TVC:GOLD,5022.76,5026.82,5020.38,5023.94,7404.0
2026-02-10 18:15:00,TVC:GOLD,5024.529,5033.84,5023.88,5032.86,9308.0
2026-02-10 18:20:00,TVC:GOLD,5032.84,5034.309,5029.49,5034.05,7640.0
2026-02-10 18:25:00,TVC:GOLD,5033.59,5039.045,5032.43,5036.6,7751.0
2026-02-10 18:30:00,TVC:GOLD,5036.335,5037.39,5033.53,5036.929,7261.0
2026-02-10 18:35:00,TVC:GOLD,5036.51,5037.0,5031.88,5033.39,7103.0
2026-02-10 18:40:00,TVC:GOLD,5033.82,5039.235,5031.63,5037.583,6519.0
2026-02-10 18:45:00,TVC:GOLD,5037.573,5040.181,5028.86,5029.8,8421.0
2026-02-10 18:50:00,TVC:GOLD,5029.89,5030.845,5025.61,5026.515,7232.0
2026-02-10 18:55:00,TVC:GOLD,5026.64,5029.189,5024.63,5026.09,7514.0
2026-02-10 19:00:00,TVC:GOLD,5026.1,5027.88,5020.93,5021.75,8410.0
2026-02-10 19:05:00,TVC:GOLD,5022.22,5022.35,5014.86,5020.79,9544.0
2026-02-10 19:10:00,TVC:GOLD,5020.915,5021.069,5013.23,5016.245,8485.0
2026-02-10 19:15:00,TVC:GOLD,5016.434,5018.469,5010.68,5011.59,9646.0
2026-02-10 19:20:00,TVC:GOLD,5011.56,5013.775,5004.54,5005.61,12354.0
2026-02-10 19:25:00,TVC:GOLD,5005.591,5011.06,5004.39,5008.175,13737.0
2026-02-10 19:30:00,TVC:GOLD,5008.175,5014.81,5004.75,5009.992,11437.0
2026-02-10 19:35:00,TVC:GOLD,5009.8,5014.989,5009.33,5013.26,9421.0
2026-02-10 19:40:00,TVC:GOLD,5013.59,5016.519,5010.61,5015.5,7740.0
2026-02-10 19:45:00,TVC:GOLD,5014.9,5017.14,5010.21,5011.675,7448.0
2026-02-10 19:50:00,TVC:GOLD,5011.33,5013.9,5006.91,5007.39,7138.0
2026-02-10 19:55:00,TVC:GOLD,5007.585,5014.81,5006.43,5013.131,7371.0
2026-02-10 20:00:00,TVC:GOLD,5013.131,5013.977,5008.34,5010.05,6674.0
2026-02-10 20:05:00,TVC:GOLD,5010.169,5013.52,5009.6,5011.41,6559.0
2026-02-10 20:10:00,TVC:GOLD,5011.429,5013.05,5009.67,5012.265,6673.0
2026-02-10 20:15:00,TVC:GOLD,5012.58,5019.52,5012.05,5018.78,7449.0
2026-02-10 20:20:00,TVC:GOLD,5018.79,5020.05,5017.965,5018.901,5948.0
2026-02-10 20:25:00,TVC:GOLD,5018.901,5021.74,5018.088,5021.021,6405.0
2026-02-10 20:30:00,TVC:GOLD,5021.065,5030.12,5020.77,5026.47,8896.0
2026-02-10 20:35:00,TVC:GOLD,5026.09,5029.59,5023.87,5026.66,7965.0
2026-02-10 20:40:00,TVC:GOLD,5026.581,5027.49,5023.19,5024.411,7138.0
2026-02-10 20:45:00,TVC:GOLD,5024.44,5027.98,5023.94,5026.555,5557.0
2026-02-10 20:50:00,TVC:GOLD,5026.88,5030.24,5025.72,5027.73,6039.0
2026-02-10 20:55:00,TVC:GOLD,5028.054,5029.71,5026.34,5027.55,5770.0
2026-02-10 21:00:00,TVC:GOLD,5027.961,5030.0,5021.67,5022.76,7031.0
2026-02-10 21:05:00,TVC:GOLD,5022.33,5024.91,5019.89,5024.83,6165.0
2026-02-10 21:10:00,TVC:GOLD,5024.82,5026.65,5022.49,5026.16,6217.0
2026-02-10 21:15:00,TVC:GOLD,5026.05,5033.76,5023.53,5032.945,5747.0
2026-02-10 21:20:00,TVC:GOLD,5033.02,5033.99,5027.52,5027.59,5672.0
